case,style,status,decisions,sim_seconds,wall_seconds,lateral_commands,turn_commands,heading_vs_motion_deg,collision_steps
heldout_r1-open-heading,heading,arrived,58,18.046,9.754,0,2,0.0017667805368453164,0
heldout_r1-open-holonomic,holonomic,arrived,70,21.65,10.534,56,0,17.78176858997927,0
heldout_r1-slalom-heading,heading,arrived,142,56.35,45.538,0,49,1.8175761950050162,0
heldout_r1-slalom-holonomic,holonomic,arrived,138,38.65,23.371,124,0,50.30434691508333,0
heldout_r1-narrow-heading,heading,no_map_route,1,0.25,0.779,0,0,,0
heldout_r1-narrow-holonomic,holonomic,no_map_route,1,0.25,0.745,0,0,,0
heldout_r3-open-heading,heading,arrived,62,20.058,13.753,0,4,0.6098330830364567,0
heldout_r3-open-holonomic,holonomic,arrived,72,22.3,12.791,57,0,13.903241313690545,0
heldout_r3-slalom-heading,heading,arrived,152,60.388,45.459,0,53,1.2608301295168272,0
heldout_r3-slalom-holonomic,holonomic,arrived,147,41.05,24.225,132,0,47.18999815728097,0
heldout_r3-narrow-heading,heading,no_map_route,1,0.25,0.641,0,0,,0
heldout_r3-narrow-holonomic,holonomic,no_map_route,1,0.25,0.63,0,0,,0
